variable,eth,rps,climate,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
land_use_sugarcane,base,base,CC0,50.7,48.7,46.7,44.9,43.1,41.3,39.7,38.1,36.6,35.1,33.7,32.4,31.1,29.8,28.6,27.4
land_use_sugarcane,base,base,CC1,50.7,48.7,46.7,44.9,43.1,41.3,39.7,38.1,36.6,35.1,33.7,33.1,32.6,32,33,34.1
land_use_sugarcane,base,base,CC2,50.7,48.7,46.7,44.9,43.1,41.3,39.7,38.1,36.6,35.1,33.7,33.1,32.6,32,33,34.1
land_use_sugarcane,p20,p20,CC0,50.7,48.7,46.7,44.9,43.1,41.3,39.8,38.9,38.2,38.9,39.7,40.6,41.5,42.4,43.4,44.5
land_use_sugarcane,p20,p20,CC1,50.7,48.7,46.7,44.9,43.1,41.3,39.7,40.3,41,41.7,42.5,43.4,44.3,45.2,46.2,47.3
land_use_sugarcane,p20,p20,CC2,50.7,48.7,46.7,44.9,43.1,41.3,39.7,40.3,41,41.7,42.5,43.4,44.3,45.2,46.2,47.3
land_use_sugarcane,p20,p35,CC0,50.7,48.7,46.7,44.9,43.1,41.3,39.8,39.1,38.4,39.1,39.9,40.8,41.7,42.6,43.6,44.7
land_use_sugarcane,p20,p35,CC1,50.7,48.7,46.7,44.9,43.1,41.3,39.7,40.3,41,41.7,42.5,43.4,44.3,45.2,46.2,47.3
land_use_sugarcane,p20,p35,CC2,50.7,48.7,46.7,44.9,43.1,41.3,39.7,40.3,41,41.7,42.5,43.4,44.3,45.2,46.2,47.3
land_use_sugarcane,p20,p50,CC0,50.7,48.7,46.7,44.9,43.1,41.3,40.2,39.4,40.1,40.8,41.6,42.5,43.4,44.3,45.3,46.4
land_use_sugarcane,p20,p50,CC1,50.7,48.7,46.7,44.9,43.1,41.3,40.5,41.1,41.8,42.5,43.3,44.2,45.1,46,47.1,48.1
land_use_sugarcane,p20,p50,CC2,50.7,48.7,46.7,44.9,43.1,41.3,40.7,41.3,41.9,42.7,43.5,44.3,45.2,46.2,47.2,48.2
land_use_sugarcane,p35,p35,CC0,50.7,48.7,46.7,44.9,43.7,42.8,42.2,41.8,41.4,42.1,42.9,43.8,44.7,45.6,46.7,47.7
land_use_sugarcane,p35,p35,CC1,50.7,48.7,46.7,44.9,43.2,42.3,41.7,41.3,41.9,42.7,43.5,44.3,45.2,46.2,47.2,48.2
land_use_sugarcane,p35,p35,CC2,50.7,48.7,46.7,44.9,43.1,42.2,41.5,42.1,42.8,43.5,44.3,45.2,46.1,47,48,48.2
land_use_sugarcane,p35,p20,CC0,50.7,48.7,46.7,44.9,43.5,42.8,42.3,41.8,41.4,42.2,43,43.8,44.7,45.7,46.7,47.7
land_use_sugarcane,p35,p20,CC1,50.7,48.7,46.7,44.9,43.1,42.3,41.7,41.3,41.9,42.7,43.5,44.3,45.2,46.2,47.2,48.2
land_use_sugarcane,p35,p20,CC2,50.7,48.7,46.7,44.9,43.1,42.2,41.5,41.8,42.5,43.2,44,44.9,45.8,46.7,47.7,48.2
land_use_sugarcane,p35,p50,CC0,50.7,48.7,46.7,44.9,43.7,42.8,42.2,41.8,42.5,43.2,44,44.8,45.7,46.7,47.7,48.2
land_use_sugarcane,p35,p50,CC1,50.7,48.7,46.7,44.9,43.1,42.3,41.7,42.3,43,43.7,44.5,45.3,46.2,47.2,48.2,48.2
land_use_sugarcane,p35,p50,CC2,50.7,48.7,46.7,44.9,43.1,42.2,41.7,42.3,43,43.7,44.5,45.4,46.3,47.2,48.2,48.2
land_use_sugarcane,p50,p50,CC0,50.7,48.7,46.7,45.7,45,44.9,44.8,44.9,45.1,45.4,46.2,47,47.9,48.2,48.4,49.5
land_use_sugarcane,p50,p50,CC1,50.7,48.7,46.7,45,44.7,44.4,44.2,44.2,44.9,45.6,46.4,47.2,48.2,48.4,48.3,48.2
land_use_sugarcane,p50,p50,CC2,50.7,48.7,46.7,45,44.5,44.2,44.1,44,44.7,45.4,46.2,47,47.9,48.4,48.3,48.2
land_use_sugarcane,p50,p20,CC0,50.7,48.7,46.7,45.7,45,44.9,44.8,44.9,45.1,45.4,45.8,46.6,47.5,48.5,48.4,49.5
land_use_sugarcane,p50,p20,CC1,50.7,48.7,46.7,45,44.7,44.4,44.2,44.2,44.3,45,45.8,46.6,47.6,48.4,48.3,48.2
land_use_sugarcane,p50,p20,CC2,50.7,48.7,46.7,45,44.5,44.2,44.1,44,44.2,44.9,45.7,46.6,47.5,48.4,48.3,48.2
land_use_sugarcane,p50,p35,CC0,50.7,48.7,46.7,45.5,45,44.9,44.9,44.9,45.1,45.4,45.8,46.6,47.5,48.5,48.5,49.6
land_use_sugarcane,p50,p35,CC1,50.7,48.7,46.7,45.1,44.6,44.4,44.2,44.2,44.3,44.9,45.7,46.6,47.5,48.4,48.3,48.2
land_use_sugarcane,p50,p35,CC2,50.7,48.7,46.7,45,44.5,44.2,44.1,44,44.2,44.9,45.7,46.6,47.5,48.4,48.3,48.2
land_use_sugarcane,p20,base,CC0,50.7,48.7,46.7,44.9,43.1,41.3,39.9,38.9,38,37.1,36.4,35.9,36.8,37.7,38.7,39.8
land_use_sugarcane,p20,base,CC1,50.7,48.7,46.7,44.9,43.1,41.3,39.7,38.3,37.3,36.7,37.5,38.3,39.2,40.2,41.2,42.2
land_use_sugarcane,p20,base,CC2,50.7,48.7,46.7,44.9,43.1,41.3,39.7,38.1,37.1,37.8,38.6,39.5,40.4,41.3,42.4,43.4
land_use_sugarcane,p35,base,CC0,50.7,48.7,46.7,44.9,43.5,42.8,42.3,41.8,41.4,41.2,41,40.8,40.8,41.8,42.8,43.9
land_use_sugarcane,p35,base,CC1,50.7,48.7,46.7,44.9,43.1,42.3,41.7,41.1,40.7,40.3,41.1,41.9,42.8,43.8,44.8,45.8
land_use_sugarcane,p35,base,CC2,50.7,48.7,46.7,44.9,43.1,42.2,41.5,40.9,40.4,40.5,41.3,42.2,43.1,44,45,46.1
