sim,ind,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
REF,dem_sub,405.1538958,410.5148228,415.254291,418.9971879,422.3824346,425.5713313,426.4234452,426.7463707,426.0695565,425.2998402,424.3683768,425.4206224,422.7206141,423.5272219,424.9214856,426.5042062,428.7873842,430.8186898,432.9912913,434.6486775,436.0522597,436.0061148,435.7631563,435.2844328,435.3508243,434.7396653,433.6609926
REF,dem_sup,246.7670565,249.369342,251.9470283,254.0560805,256.1118498,258.0315321,259.2597364,260.2626164,260.9811829,261.6288919,262.060393,263.8068057,264.6579598,266.422843,269.5185577,272.4506194,275.5959352,278.5796804,281.5022012,284.449851,287.27561,291.1381803,295.0875943,298.753603,301.7082736,304.5809761,307.2883114
REF,dem_sub_alm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REF,dem_riego,384.1919036,388.6662386,392.3413755,394.4936284,396.1761181,397.4786722,396.0395066,393.7686271,390.1539294,386.3620459,382.1394261,381.1017643,375.3506038,373.9633649,374.3882633,374.8276518,376.1083606,376.8902564,377.6766438,377.959316,377.7384885,377.0765051,376.2500056,374.8617983,373.198943,370.7447551,367.5585828
REF,dem_riego_sub,281.7785971,285.7068966,288.9680972,291.0750479,292.8655183,294.4083901,293.8122702,292.6022607,290.3664965,288.035654,285.5902831,284.9262086,280.5401441,279.7042719,279.4572056,279.2807824,279.8361755,280.054326,280.3419425,280.293215,279.7741284,277.8733248,275.7174113,273.2831953,271.3894193,268.882529,265.8090214
REF,dem_riego_sup,102.4133065,102.959342,103.3732783,103.4185805,103.3105998,103.0702821,102.2272364,101.1663664,99.78743291,98.32639189,96.549143,96.17555569,94.81045979,94.25909301,94.9310577,95.54686936,96.27218519,96.83593036,97.33470124,97.66610098,97.96436005,99.20318026,100.5325943,101.578603,101.8095236,101.8622261,101.7495614
REF,demanda_no_agricola,267.7290488,271.2179263,274.8599438,278.55964,282.3181663,286.1241913,289.643675,293.24036,296.89681,300.5666863,304.2893438,308.1256638,312.02797,315.9867,320.05178,324.1271738,328.2749588,332.5081138,336.8168488,341.1392125,345.5893813,350.06779,354.600745,359.1762375,363.860155,368.5758863,373.3907212
REF,demanda_total,651.9209524,659.8841649,667.2013192,673.0532684,678.4942844,683.6028634,685.6831816,687.0089871,687.0507394,686.9287321,686.4287698,689.227428,687.3785738,689.9500649,694.4400433,698.9548255,704.3833194,709.3983701,714.4934925,719.0985285,723.3278697,727.1442951,730.8507506,734.0380358,737.059098,739.3206413,740.949304
REF,frijoles,1.694489522,1.725873614,1.751632917,1.777776682,1.804310662,1.831240664,1.858572619,1.886312512,1.914466445,1.943040553,1.972041152,2.001474617,2.031347376,2.061665992,2.092437115,2.123667525,2.155364053,2.187533661,2.220183427,2.253320496,2.286952147,2.32108576,2.355728826,2.390888953,2.426573858,2.462791385,2.499549478
REF,cafe,1.366712277,1.393914418,1.42165401,1.449945659,1.478800285,1.508229147,1.538243659,1.568855474,1.600076471,1.631918786,1.664394797,1.697517077,1.731298505,1.765752196,1.800891544,1.836730203,1.873282042,1.91056128,1.948582416,1.987360159,2.026909601,2.067246132,2.108385363,2.150343278,2.193136174,2.236780669,2.281293715
REF,otros_cultivos,7.950614112,8.069281236,8.189718267,8.311952869,8.436011861,8.561922486,8.689712383,8.819409588,8.95104257,9.084640195,9.220231873,9.35784726,9.497516634,9.639270596,9.783140299,9.929157317,10.07735371,10.22776198,10.38041515,10.53534672,10.69259068,10.85218159,11.01415443,11.17854481,11.34538878,11.5147229,11.68658445
REF,bosque,31.89169768,32.05732825,32.11771978,32.22207009,32.37152141,32.5673149,32.81029092,33.10258886,33.44514717,33.84090335,34.32569424,32.69083823,32.37197777,32.06089048,31.28528303,30.51277558,29.74356814,28.97736068,28.21435323,27.45434579,26.69723834,25.94313089,25.19192344,24.44351599,23.69770855,22.9547011,22.21419365
REF,granos_pacifico,0.735723751,0.757740931,0.786940931,0.823840931,0.869040931,0.923140931,0.986840931,1.060840931,1.145840931,1.242740931,1.3517,1.2892,1.2179,1.1373,1.197561007,1.332961007,1.221261007,1.098061007,1.246318169,1.097818169,0.994668129,0.981468129,0.968868129,0.956868129,0.794807121,1.073807121,1.063607121
REF,granos_otros,6.264239154,6.311872857,6.353017279,6.38716164,6.413712902,6.432078122,6.44156438,6.441478865,6.431128804,6.409621538,6.376805383,6.516205936,6.665171652,6.82421019,6.843168185,6.787775435,6.98027878,7.185086147,7.119248355,7.35098782,7.538205588,7.636309815,7.734658834,7.833261097,8.082786088,7.892120338,7.991533554
REF,pastos_pacifico,3.387192516,3.2467327,3.082882308,2.894872958,2.678190885,2.430549277,2.153334734,1.840528124,1.49058683,1.097603641,0.672764764,1.9367,1.8399,1.7479,1.6605,1.5775,1.4986,1.4237,1.3525,1.2849,1.2207,0.834198785,0.378447668,0,0,0,0
REF,pastos_otros,19.29301732,19.13256043,18.94816043,18.74086043,18.51186043,18.26216043,17.99306043,17.70516043,17.39956043,17.07726043,16.6921,16.73434905,16.81762091,16.88414424,17.40716932,17.91705847,18.41484455,18.90066032,19.37372988,19.83507951,20.28492852,21.04877947,21.87280761,22.61128112,22.96237074,23.30501047,23.63941951
REF,oleag_riego,0.149773074,0.150632172,0.149455124,0.146296376,0.140881101,0.13293454,0.122367143,0.108811682,0.092178733,0.07237896,0.050122441,0.029276794,0.006385581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REF,oleag_secano,0.233823913,0.240763303,0.250063303,0.261663303,0.275863303,0.292963303,0.313063303,0.336563303,0.363563303,0.394163303,0.4276,0.4597,0.4942,0.511068498,0.521239026,0.531611931,0.542191272,0.552981157,0.563985748,0.57520935,0.586656299,0.598331057,0.610238147,0.622382191,0.634767907,0.647400104,0.660283676
REF,otros_suelos,0.763954632,0.779233724,0.794818399,0.810714767,0.826929062,0.843467643,0.860336997,0.877543737,0.895094611,0.912996503,0.931256433,0.949881562,0.968879193,0.988256777,1.008021913,1.028182351,1.048745998,1.069720918,1.091115337,1.112937643,1.135196396,1.157900323,1.181058329,1.204679497,1.228773087,1.253348549,1.27841552
REF,permanentes,0.572678991,0.58122718,0.589902212,0.598706722,0.607642643,0.616711937,0.625916592,0.635258632,0.644740103,0.65436309,0.664129702,0.674042088,0.684102416,0.6943129,0.704675779,0.715193328,0.725867855,0.736701704,0.747697252,0.758856913,0.770183135,0.781678405,0.793345247,0.805186221,0.817203926,0.829401,0.84178012
REF,canha_riego,0.459996068,0.467808762,0.475382292,0.481551446,0.488103912,0.495300346,0.499442756,0.50371655,0.507352792,0.512247038,0.517825193,0.520109529,0.520706718,0.521387864,0.520513829,0.519712733,0.520286258,0.520120723,0.520014639,0.519163073,0.517566835,0.515043244,0.512283349,0.508681655,0.504738012,0.49957958,0.493298995
REF,canha_secano_pacifico,0.024551748,0.025322148,0.026222148,0.027222148,0.028522148,0.030122148,0.031922148,0.033822148,0.036122148,0.038722148,0.041522148,0.044822148,0.048422148,0.052422148,0.056722148,0.0615,0.0661,0.0711,0.0765,0.0823,0.0884,0.095,0.1022,0.1099,0.1182,0.1271,0.1366
REF,canha_secano_otros,0.014693639,0.015173103,0.015673103,0.016373103,0.017373103,0.018373103,0.019573103,0.021073103,0.022773103,0.024773103,0.026873103,0.030773103,0.034973103,0.039473103,0.044373103,0.0495,0.0532,0.0572,0.0615,0.0661,0.0711,0.0765,0.0823,0.0884,0.095,0.1022,0.1099
REF,vegetales,0.444475519,0.446687004,0.448909327,0.451142707,0.453387198,0.455642856,0.457909735,0.460187894,0.462477385,0.464778268,0.467090597,0.469414432,0.471749827,0.474096841,0.476455531,0.478825957,0.481208175,0.483602247,0.486008227,0.488426179,0.49085616,0.49329823,0.495752451,0.49821888,0.500697581,0.503188614,0.505692041
REF,area_riego,0.609769142,0.618440934,0.624837416,0.627847821,0.628985013,0.628234885,0.621809899,0.612528233,0.599531526,0.584625998,0.567947635,0.549386323,0.5270923,0.521387864,0.520513829,0.519712733,0.520286258,0.520120723,0.520014639,0.519163073,0.517566835,0.515043244,0.512283349,0.508681655,0.504738012,0.49957958,0.493298995
REF,area_cultivos,8.899955857,8.997227459,9.095565719,9.193958374,9.294527239,9.397267284,9.49860009,9.601753108,9.706177303,9.813788379,9.923668568,10.03354403,10.14361145,10.25427154,10.36470861,10.47708039,10.59039335,10.70485299,10.82127239,10.9388615,11.05763615,11.17762888,11.29964616,11.42289817,11.54820064,11.67479676,11.80269551
REF,prod_azucar,0.521,0.532,0.543,0.553,0.564,0.576,0.587,0.599,0.611,0.623,0.636,0.648,0.661,0.675,0.688,0.702,0.716,0.73,0.745,0.76,0.775,0.79,0.806,0.822,0.839,0.856,0.873
REF,prod_granos,2.843,2.885,2.929,2.973,3.017,3.062,3.108,3.155,3.202,3.25,3.299,3.349,3.399,3.45,3.502,3.554,3.607,3.662,3.716,3.772,3.829,3.886,3.945,4.004,4.064,4.125,4.187
REF,prod_oleoginosas,0.024,0.025,0.025,0.026,0.027,0.027,0.028,0.029,0.029,0.03,0.031,0.032,0.032,0.033,0.034,0.035,0.036,0.037,0.038,0.039,0.039,0.04,0.041,0.043,0.044,0.045,0.046
REF,elec_agr,167.3557194,169.7827211,172.0835429,174.2169263,176.3012987,178.3651319,180.0483922,181.6256617,183.0184377,184.4276525,185.8427614,187.6453772,188.720051,190.5297524,192.5088811,194.520023,196.7159413,198.858196,201.0499357,203.2022396,205.2853429,207.1530507,208.9954188,210.8083383,212.7517899,214.6117424,216.403767
