variable,expanded,category
ind,Indicator,
sim,Escenario,
REF,Referencia,
REF_AZ100,Referencia-azucar_100,
REF_AZ130,Referencia-azucar_130,
REF_LIM0.30,Referencia_aquifero_0.30,
INC_DEM_NAGR,Incremento_demanda_agua_no_agricola,
dem_sub,demanda_agua_subterranea,agua_Mm3
dem_sup,demanda_agua_superficial,agua_Mm3
dem_sub_alm,demanda_agua_almacenamiento,agua_Mm3
dem_riego,demanda_agua_riego,agua_Mm3
dem_riego_sub,demanda_agua_riego_subterranea,agua_Mm3
dem_riego_sup,demanda_agua_riego_superficial,agua_Mm3
demanda_no_agricola,demanda_agua_no_agricola,agua_Mm3
demanda_total,demanda_agua_total,agua_Mm3
frijoles,frijoles,uso_de_suelo_mileskm2
cafe,cafe,uso_de_suelo_mileskm2
otros_cultivos,otros_cultivos,uso_de_suelo_mileskm2
bosque,bosque,uso_de_suelo_mileskm2
granos_pacifico,granos_pacifico,uso_de_suelo_mileskm2
granos_otros,granos_otros,uso_de_suelo_mileskm2
pastos_pacifico,pastos_pacifico,uso_de_suelo_mileskm2
pastos_otros,pastos_otros,uso_de_suelo_mileskm2
oleag_riego,oleaginosas_riego,uso_de_suelo_mileskm2
oleag_secano,oleaginosas_secano,uso_de_suelo_mileskm2
otros_suelos,otros_suelos,uso_de_suelo_mileskm2
permanentes,permanentes,uso_de_suelo_mileskm2
canha_riego,canha_riego,uso_de_suelo_mileskm2
canha_secano_pacifico,canha_secano_pacifico,uso_de_suelo_mileskm2
canha_secano_otros,canha_secano_otros,uso_de_suelo_mileskm2
vegetales,vegetales,uso_de_suelo_mileskm2
area_riego,area_total_riego,uso_de_suelo_mileskm2
area_cultivos,area_total_cultivo,uso_de_suelo_mileskm2
prod_azucar,produccion_azucar,uso_de_suelo_Mt
prod_granos,produccion_granos,uso_de_suelo_Mt
prod_oleoginosas,produccion_oleoginosas,uso_de_suelo_Mt
elec_agr,electricidad_agricultura,energia_GWh
cap_acumulada_cogen,capacidad_acumulada_cogeneracion,energia_MW
prod_elec_bio,produccion_electricidad_biomasa,energia_GWh
