scn,pol,ind,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
base,pa,gdp,7273.699038,7592.518319,8053.088957,8370.510799,8676.606859,9056.382306,9459.439947,9975.953671,10596.80571,11365.62997,12143.53891,12956.85198,13941.56116,15243.24023,16661.68825,17652.01115,18843.75739,20196.79938,21744.18563,23265.4019
base,pa,pov,20.87086,20.87086,20.87086,20.87086,20.87086,20.87086,20.87086,19.43093825,18.09035954,16.84227,15.04555942,13.4405195,12.00670307,10.72584423,9.581625677,8.559470814,7.646358048,6.830654917,6.101969892,5.45102
base,pa,gini,0.464951,0.464951,0.464951,0.464951,0.464951,0.464951,0.464951,0.458961029,0.453048227,0.4472116,0.441760519,0.436375881,0.431056877,0.425802706,0.420612579,0.415485714,0.410421341,0.405418697,0.400477032,0.3955956
base,pa,edc,28.01218919,30.02979253,31.7756925,32.23435604,32.46953241,32.77820269,32.97499537,33.53842783,34.3280981,35.52599211,36.72305742,37.93238783,39.42570384,41.5194317,43.74591767,44.99073863,46.48117721,48.14155685,50.11981229,52.03941823
base,pa,u5m,62.99999999,59.10094157,56.78913777,56.43784335,56.21329676,55.74951824,55.42419593,54.57019832,53.53767143,52.26981853,51.12206058,50.05448527,48.88757434,47.48598812,46.15007693,45.39626637,44.59792728,43.80329499,42.95107925,42.19730647
base,pa,mtm,229,203.5859997,189.5559639,187.6933379,186.5859274,184.0822958,182.449631,177.674382,171.9386809,164.9679137,158.7417808,153.0346022,146.916784,139.7115729,133.0061456,129.2677363,125.3933805,121.6169861,117.6377113,114.1802181
base,pa,water,82.2,84.63837433,86.41358554,86.74654029,86.98026,87.4376254,87.80522083,88.61547093,89.60586746,90.82609919,91.91593806,92.91031193,93.97847171,95.20370795,96.26612787,96.78806335,97.31539734,97.80044043,98.26269779,98.61515637
base,pa,sanit,59.80000017,62.65788922,64.73193466,65.08371397,65.318224,65.82200453,66.20980253,67.17788483,68.41569272,70.03910394,71.60230872,73.14509797,74.95320416,77.29845515,79.66793678,81.00977698,82.5023826,84.04040298,85.71879801,87.1962142
base,tnd,gdp,7273.699038,7592.518327,8053.088965,8370.510807,8676.606868,9056.382314,9459.439953,9799.976704,10152.29776,10520.53287,10902.94431,11296.42366,11702.99027,12126.43809,12566.22948,13019.88115,13488.62975,13975.86285,14481.91808,15004.9633
base,tnd,pov,20.87086,20.87086,20.87086,20.87086,20.87086,20.87086,20.87086,19.92333745,19.01883176,18.15539,17.08755295,16.08252237,15.13660421,14.24632167,13.40840245,12.61976674,11.87751585,11.17892158,10.5214162,9.902583
base,tnd,gini,0.464951,0.464951,0.464951,0.464951,0.464951,0.464951,0.464951,0.460419444,0.455932054,0.4514884,0.446809613,0.442179312,0.437596995,0.433062165,0.428574329,0.424133001,0.419737699,0.415387945,0.411083268,0.4068232
base,tnd,edc,28.01218595,30.07519076,31.84066089,32.26186899,32.48905891,32.80627965,32.96889814,33.13802271,33.27537805,33.51924234,33.81654766,34.11579835,34.40974852,34.68924743,34.99001353,35.299386,35.63486295,36.0623529,36.55291524,37.12201942
base,tnd,u5m,63,58.9439417,56.55810652,56.312525,56.11271121,55.63271599,55.39297314,54.90952361,54.5559647,54.21827794,53.89025429,53.58214691,53.29139591,53.01068727,52.737608,52.47555382,52.21915792,51.95946624,51.68205653,51.37861009
base,tnd,mtm,229,202.5501796,188.0790938,186.8873122,185.9363844,183.3325137,182.2416876,179.492909,177.5537893,175.710647,173.9170854,172.2287913,170.6329408,169.0853072,167.5808078,166.132989,164.7123384,163.2637021,161.7223827,160.0462546
base,tnd,water,82.2,84.73990404,86.58262726,86.83480538,87.04898627,87.51836837,87.82373239,88.24958398,88.58094213,88.9020909,89.21303766,89.50263896,89.77341221,90.03441483,90.28234451,90.51482918,90.73610534,90.95003411,91.17592463,91.42140118
base,tnd,sanit,59.8,62.7866535,64.95486421,65.20331923,65.41324714,65.93519608,66.23851929,66.75370791,67.14695401,67.53302906,67.91449902,68.27729024,68.62340774,68.96471324,69.29498606,69.61166941,69.92005326,70.22714818,70.55646923,70.91966742
dx,pa,gdp,7273.699038,7559.181827,8001.581459,8344.128522,8687.52947,9094.418941,9531.322721,10064.56063,10691.58143,11451.40406,12213.55195,12996.40444,13895.54529,15116.72377,16455.97371,17362.15154,18461.58111,19718.41658,21166.35162,22574.40063
dx,pa,pov,20.87086,20.87086,20.87086,20.87086,20.87086,20.87086,20.87086,19.08623678,17.45421293,15.96174,14.20339111,12.63874234,11.24645562,10.00754353,8.905110273,7.924121312,7.051198317,6.274436717,5.58324335,4.968192
dx,pa,gini,0.464951,0.464951,0.464951,0.464951,0.464951,0.464951,0.464951,0.457605979,0.45037699,0.4432622,0.437879507,0.432562179,0.427309421,0.422120448,0.416994488,0.411930774,0.40692855,0.40198707,0.397105596,0.3922834
dx,pa,edc,28.01218919,29.168031,30.40007753,31.71193193,33.10695,34.58812636,36.15796953,37.81836324,39.57041636,41.41430488,43.34911123,45.3726672,47.48140871,49.6702516,51.93249852,54.25978731,56.64209085,59.06777668,61.52373257,63.99556075
dx,pa,u5m,62.99999999,61.49673434,59.77541455,57.9253349,56.16767558,54.52084925,52.9489668,51.51548217,50.17383231,48.92304139,47.74503471,46.6349958,45.59228666,44.62469655,43.71538842,42.8386701,42.01071707,41.22719445,40.49212956,39.79530426
dx,pa,mtm,229,217.1924548,206.1378106,195.8218534,186.2207023,177.3036215,169.0353649,161.378069,154.2927334,147.7403433,141.6826927,136.0829616,130.9061005,126.1190632,121.6909265,117.5929249,113.7984256,110.2828606,107.0236321,104
dx,pa,water,82.2,82.23562826,82.49281965,82.93131566,83.38118384,83.82183665,84.28345279,84.69402748,85.09259614,85.4724958,85.84861876,86.22149238,86.58590677,86.92265293,87.24941031,87.60396613,87.95607044,88.30828426,88.64715854,88.98711495
dx,pa,sanit,59.80000017,60.23130538,60.66878925,61.11243474,61.56221721,62.01810383,62.48005315,62.94801468,63.42192849,63.90172475,64.38732336,64.87863353,65.37555336,65.87796946,66.38575659,66.89877726,67.41688144,67.93990624,68.46767559,69
dxdt,pa,gdp,7273.699038,7557.468733,7993.05066,8331.55718,8669.979126,9073.858554,9502.254077,10015.26476,10622.32028,11363.26978,12105.67902,12869.13548,13747.93474,14937.80668,16238.28019,17107.81798,18165.36007,19373.8415,20766.02494,22114.32074
