scn,cnt,ind,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
base,bol,edu,62.1,66,69.6,73.1,76.3,79.4,82.2,84.8,87.2,89.3,91.2,92.8,94.3,95.5,96.4,97.2
base,bol,mr.u5,50.7,49.9,49,48.2,47.5,46.7,46,45.3,44.6,43.9,43.3,42.7,42.1,41.5,40.9,40.4
base,bol,mr.mat,152.8,148.1,143.6,139.3,135.2,131.3,127.6,124,120.6,117.4,114.4,111.4,108.7,106,103.5,101.1
base,bol,water,92.2,93,93.8,94.5,95.2,95.8,96.4,96.9,97.4,97.8,98.1,98.5,98.7,99,99.2,99.3
base,bol,sanit,72,73.2,74.5,75.8,77.1,78.4,79.7,81,82.3,83.6,84.8,86.1,87.3,88.4,89.6,90.6
bdg.exp,bol,edu,62.1,66,69.8,73.4,76.9,80.2,83.2,85.9,88.4,90.5,92.4,94.1,95.4,96.5,97.4,98.1
bdg.exp,bol,mr.u5,50.7,49.9,49,48.2,47.4,46.6,45.8,45,44.3,43.6,42.9,42.3,41.6,41,40.4,39.8
bdg.exp,bol,mr.mat,152.8,148.1,143.6,139.2,134.9,130.8,126.9,123.1,119.6,116.2,112.9,109.9,107,104.2,101.6,99.1
bdg.exp,bol,water,92.2,93,93.8,94.6,95.3,96,96.6,97.2,97.7,98.1,98.5,98.8,99,99.2,99.4,99.6
bdg.exp,bol,sanit,72,73.2,74.5,75.9,77.3,78.7,80.2,81.6,83.1,84.5,85.9,87.3,88.6,89.8,91.1,92.2
infr,bol,edu,62.1,65.9,69.5,73,76.3,79.5,82.4,85.1,87.5,89.7,91.7,93.4,94.8,96,96.9,97.7
infr,bol,mr.u5,50.7,49.9,49.1,48.3,47.5,46.7,46,45.3,44.6,43.9,43.2,42.6,41.9,41.3,40.8,40.2
infr,bol,mr.mat,152.8,148.3,143.9,139.7,135.6,131.7,127.9,124.3,120.8,117.5,114.4,111.3,108.5,105.7,103.2,100.7
infr,bol,water,92.2,93,93.8,94.5,95.2,95.8,96.4,96.9,97.4,97.8,98.2,98.5,98.8,99,99.2,99.4
infr,bol,sanit,72,73.2,74.4,75.7,77,78.3,79.6,80.9,82.3,83.6,84.9,86.2,87.4,88.6,89.8,90.9
edu.1,bol,edu,62.1,67.8,73.1,78.1,82.5,86.2,89.2,91.8,93.9,95.5,96.8,97.8,98.6,99.1,99.4,99.7
edu.1,bol,mr.u5,50.7,49.9,49.1,48.3,47.6,46.9,46.2,45.5,44.8,44.2,43.6,43,42.4,41.9,41.3,40.8
edu.1,bol,mr.mat,152.8,148.2,143.9,139.8,135.9,132.2,128.7,125.3,122.1,119,116.1,113.2,110.5,107.9,105.5,103.1
edu.1,bol,water,92.2,93,93.8,94.5,95.1,95.7,96.3,96.8,97.2,97.6,98,98.3,98.6,98.9,99.1,99.2
edu.1,bol,sanit,72,73.2,74.4,75.6,76.9,78.1,79.4,80.6,81.8,83.1,84.3,85.5,86.7,87.8,88.9,90
edu.all,bol,edu,62.1,66.9,71.5,75.9,79.9,83.5,86.6,89.3,91.6,93.6,95.2,96.5,97.5,98.3,98.9,99.3
edu.all,bol,mr.u5,50.7,49.9,49.1,48.3,47.6,46.9,46.2,45.5,44.9,44.2,43.6,43,42.4,41.9,41.3,40.8
edu.all,bol,mr.mat,152.8,148.2,143.9,139.9,136,132.3,128.7,125.4,122.2,119.1,116.1,113.3,110.6,108,105.5,103.2
edu.all,bol,water,92.2,93,93.8,94.5,95.1,95.7,96.3,96.8,97.2,97.6,98,98.3,98.6,98.9,99.1,99.2
edu.all,bol,sanit,72,73.2,74.4,75.6,76.9,78.1,79.3,80.6,81.8,83,84.3,85.5,86.6,87.8,88.9,89.9
base,cri,edu,65,65.8,66.6,67.3,68,68.6,69.2,69.8,70.5,71.2,72,72.7,73.4,74.2,74.9,75.5
base,cri,mr.u5,8.8,8.8,8.7,8.6,8.6,8.5,8.4,8.4,8.3,8.2,8.2,8.1,8.1,8,7.9,7.9
base,cri,mr.mat,19.3,18.5,17.7,16.9,16.2,15.6,15,14.4,13.8,13.3,12.8,12.3,11.9,11.4,11,10.6
base,cri,water,91.5,91.7,91.9,92.1,92.3,92.4,92.6,92.8,92.9,93.1,93.2,93.4,93.5,93.6,93.8,93.9
base,cri,sanit,96.9,96.9,97,97,97.1,97.1,97.1,97.2,97.2,97.3,97.3,97.4,97.4,97.4,97.5,97.5
bdg.exp,cri,edu,65,65.9,66.7,67.5,68.3,69,69.7,70.4,71.1,71.9,72.8,73.6,74.4,75.3,76,76.8
bdg.exp,cri,mr.u5,8.8,8.8,8.7,8.6,8.5,8.5,8.4,8.3,8.3,8.2,8.1,8.1,8,7.9,7.9,7.8
bdg.exp,cri,mr.mat,19.3,18.4,17.6,16.8,16.1,15.4,14.7,14.1,13.5,13,12.4,11.9,11.5,11,10.6,10.2
bdg.exp,cri,water,91.5,91.7,91.9,92.1,92.3,92.5,92.7,92.9,93,93.2,93.4,93.5,93.7,93.8,94,94.1
bdg.exp,cri,sanit,96.9,96.9,97,97,97.1,97.1,97.2,97.2,97.3,97.3,97.4,97.4,97.5,97.5,97.6,97.6
infr,cri,edu,65,65.8,66.6,67.4,68.1,68.7,69.3,70,70.7,71.5,72.3,73,73.8,74.6,75.3,76
infr,cri,mr.u5,8.8,8.8,8.7,8.6,8.6,8.5,8.5,8.4,8.3,8.3,8.2,8.1,8.1,8,8,7.9
infr,cri,mr.mat,19.3,18.5,17.8,17,16.4,15.7,15.1,14.5,14,13.5,13,12.5,12,11.6,11.2,10.9
infr,cri,water,91.5,91.7,92,92.2,92.5,92.8,93.1,93.4,93.6,93.9,94.2,94.4,94.7,94.9,95.1,95.4
infr,cri,sanit,96.9,96.9,97,97.1,97.1,97.2,97.3,97.4,97.5,97.6,97.6,97.7,97.8,97.9,98,98
edu.1,cri,edu,65,66.1,67.2,68.3,69.4,70.4,71.4,72.4,73.5,74.6,75.7,76.8,77.8,78.8,79.8,80.7
edu.1,cri,mr.u5,8.8,8.8,8.7,8.6,8.6,8.5,8.4,8.4,8.3,8.3,8.2,8.1,8.1,8,8,7.9
edu.1,cri,mr.mat,19.3,18.5,17.7,17,16.3,15.7,15.1,14.5,13.9,13.4,12.9,12.4,12,11.6,11.2,10.8
edu.1,cri,water,91.5,91.7,91.9,92.1,92.3,92.4,92.6,92.7,92.9,93,93.2,93.3,93.5,93.6,93.7,93.9
edu.1,cri,sanit,96.9,96.9,97,97,97.1,97.1,97.1,97.2,97.2,97.3,97.3,97.3,97.4,97.4,97.5,97.5
edu.all,cri,edu,65,65.9,66.9,67.8,68.6,69.4,70.2,71.1,72,72.9,73.8,74.8,75.7,76.6,77.5,78.4
edu.all,cri,mr.u5,8.8,8.8,8.7,8.6,8.6,8.5,8.4,8.4,8.3,8.3,8.2,8.1,8.1,8,8,7.9
edu.all,cri,mr.mat,19.3,18.5,17.7,17,16.3,15.7,15.1,14.5,13.9,13.4,12.9,12.4,12,11.6,11.1,10.8
edu.all,cri,water,91.5,91.7,91.9,92.1,92.3,92.4,92.6,92.7,92.9,93,93.2,93.3,93.5,93.6,93.7,93.9
edu.all,cri,sanit,96.9,96.9,97,97,97.1,97.1,97.1,97.2,97.2,97.3,97.3,97.3,97.4,97.4,97.5,97.5
base,uga,edu,47.1,53.9,60.4,67,73.5,79.7,85.2,89.9,93.6,96.2,98,99,99.6,99.8,99.9,100
base,uga,mr.u5,89,83.3,78.2,73.5,69.2,65.4,61.9,58.7,55.8,53.2,50.9,48.8,46.9,45.2,43.7,42.4
base,uga,mr.mat,267.1,249,232.6,217.7,204.3,192.2,180.9,170.9,161.9,153.8,146.7,140,134.2,128.9,124.3,120.2
base,uga,water,78.1,79,80.1,81.2,82.3,83.5,84.8,86.1,87.3,88.6,89.9,91.2,92.4,93.5,94.5,95.5
base,uga,sanit,65.7,66.1,66.6,67.2,67.7,68.3,69,69.7,70.5,71.3,72.1,73,74,75,76.1,77.2
bdg.exp,uga,edu,47.1,53.4,60,66.8,73.7,80.2,86,90.8,94.4,96.9,98.5,99.3,99.7,99.9,100,100
bdg.exp,uga,mr.u5,89,84,79.2,74.6,70.4,66.5,62.8,59.4,56.4,53.7,51.3,49,47,45.3,43.7,42.3
bdg.exp,uga,mr.mat,267.1,251.2,235.8,221.3,207.9,195.5,183.8,173.2,163.7,155.3,147.7,140.8,134.6,129.2,124.3,120
bdg.exp,uga,water,78.1,78.9,79.9,80.9,82.1,83.2,84.5,85.8,87.2,88.5,89.8,91.2,92.4,93.6,94.7,95.7
bdg.exp,uga,sanit,65.7,66.1,66.5,67,67.6,68.2,68.9,69.6,70.4,71.2,72.1,73,74.1,75.1,76.3,77.4
infr,uga,edu,47.1,59.4,70.1,80.1,87.8,93.3,96.8,98.6,99.5,99.9,100,100,100,100,100,100
infr,uga,mr.u5,89,83.7,78.9,74.4,70.3,66.6,63.1,59.9,57.1,54.5,52.2,50,48,46.3,44.7,43.3
infr,uga,mr.mat,267.1,250.3,234.9,220.6,207.7,195.9,184.8,174.8,165.9,157.8,150.5,143.7,137.7,132.3,127.4,123
infr,uga,water,78.1,79,80,81,82.1,83.2,84.4,85.6,86.9,88.1,89.4,90.6,91.8,93,94,95
infr,uga,sanit,65.7,66.1,66.6,67.1,67.6,68.2,68.8,69.5,70.2,70.9,71.7,72.6,73.5,74.5,75.5,76.6
edu.1,uga,edu,47.1,53.8,60.4,67,73.5,79.7,85.3,90,93.6,96.2,97.9,99,99.5,99.8,99.9,100
edu.1,uga,mr.u5,89,83.7,78.9,74.5,70.4,66.8,63.3,60.2,57.4,54.9,52.6,50.5,48.5,46.8,45.3,43.9
edu.1,uga,mr.mat,267.1,250.3,235,220.8,208,196.4,185.5,175.7,166.9,159,151.9,145.2,139.3,134,129.2,124.9
edu.1,uga,water,78.1,79,79.9,81,82,83.1,84.3,85.5,86.7,87.9,89,90.2,91.4,92.5,93.5,94.5
edu.1,uga,sanit,65.7,66.1,66.6,67.1,67.6,68.1,68.7,69.4,70.1,70.8,71.5,72.4,73.2,74.1,75,76
edu.all,uga,edu,47.1,53.9,60.9,68,75,81.5,87.1,91.7,95.1,97.3,98.7,99.4,99.8,99.9,100,100
edu.all,uga,mr.u5,89,83.8,78.9,74.4,70.2,66.4,62.8,59.6,56.7,54.1,51.7,49.6,47.6,45.9,44.4,43
edu.all,uga,mr.mat,267.1,250.7,235,220.6,207.3,195.3,183.9,173.8,164.6,156.5,149.2,142.4,136.4,131.1,126.3,122.1
edu.all,uga,water,78.1,78.9,79.9,80.9,82,83.1,84.3,85.5,86.8,88,89.3,90.5,91.7,92.9,93.9,94.9
